company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date
Wetpaint,Series C,USA,web,39750000.0,4.0,2005.0,operating,2008-05-19
FriendFeed,Series A,USA,web,5000000.0,3.0,2007.0,acquired,2008-02-26
Fitbit,Series C,USA,health,68069200.0,7.0,2007.0,operating,2013-08-13
MTPV,Series B,USA,cleantech,10125293.0,4.0,2003.0,operating,2012-01-26
Demandbase,Series C,USA,analytics,33000000.0,6.0,2006.0,operating,2013-03-28
Locatrix Communications,Angel,AUS,mobile,250000.0,2.0,2003.0,operating,2003-11-01
iHireHelp,Angel,USA,education,100000.0,,2010.0,operating,2011-04-16
Cardiosolutions,Series A,USA,medical,11300000.0,1.0,2006.0,operating,2012-07-10
Blend Biosciences,Series A,,biotech,2800000.0,,,operating,2011-09-06
Wevod,Angel,FRA,games_video,414840.0,,2006.0,operating,2007-10-01
Balance Financial,Series A,USA,enterprise,1500000.0,1.0,2004.0,operating,2011-09-06
Wikinvest,Series A,USA,web,2500000.0,1.0,2006.0,operating,2007-10-01
Solectria Renewables,,USA,cleantech,2100000.0,1.0,,operating,2011-09-06
Jumptap,Series A,USA,mobile,121500000.0,7.0,2005.0,acquired,2012-07-02
Jogabo,Angel,USA,games_video,40000.0,1.0,2011.0,operating,2011-11-04
Courion Corporation,Series A,USA,software,840000.0,,1996.0,operating,2012-04-10
PlayPhone,Series D+,USA,games_video,95097200.0,5.0,2003.0,operating,2012-01-01
Rupture,Series A,USA,games_video,3000000.0,6.0,,acquired,2007-07-01
Birdpost,Angel,USA,web,350000.0,,2007.0,operating,2007-11-01
Ambitious Minds,Series A,GBR,education,559522.0,1.0,2009.0,operating,2011-09-07
iCharts,Series A,USA,analytics,3100000.0,4.0,2008.0,operating,2012-02-29
Attunity,Series A,USA,software,10500000.0,2.0,,ipo,2011-09-21
FairSoftware,Angel,USA,web,100000.0,,2007.0,closed,2007-01-01
AMAX Global Services,Angel,USA,software,45000.0,,2000.0,operating,2012-11-13
The Local,Series A,SWE,news,3933515.0,2.0,2004.0,operating,2011-04-01
Tingz,Angel,USA,software,280000.0,,2007.0,operating,2008-06-26
SellABand,Series A,DEU,games_video,5000000.0,1.0,2006.0,closed,2008-04-08
Gazelle,Series C,USA,ecommerce,46400000.0,7.0,2006.0,operating,2011-07-21
Icount.com,Angel,USA,government,182500.0,8.0,2010.0,operating,2011-01-01
Rev Worldwide,,USA,ecommerce,4815940.0,1.0,2008.0,operating,2013-12-08
Tonchidot,Series B,JPN,mobile,16000000.0,4.0,2008.0,operating,2010-09-30
HammerKit,Series A,FIN,web,1613875.0,1.0,2006.0,closed,2012-01-19
MetaPack,Series A,GBR,software,30772029.0,3.0,1999.0,operating,2013-11-27
Eqvilibria,Angel,RUS,other,720000.0,,2009.0,operating,2011-06-01
Sportsvite,Angel,USA,web,4350000.0,1.0,2007.0,operating,2013-03-01
SideTour,Series A,USA,web,4000000.0,4.0,2011.0,acquired,2013-03-25
ChatID,Angel,USA,mobile,3268000.0,17.0,2011.0,operating,2013-05-31
PGP TrustCenter,Series A,USA,security,8500000.0,2.0,1997.0,operating,2007-05-29
ChoicePass,Angel,USA,enterprise,250000.0,,2011.0,acquired,2011-07-01
Producteev,Angel,USA,software,1310000.0,15.0,2008.0,acquired,2010-02-01
TradeCard,Series A,USA,enterprise,44925050.0,1.0,1999.0,acquired,2013-03-15
Links Global,Series A,,finance,22000000.0,1.0,,operating,2011-09-07
Twonq,Angel,USA,web,800000.0,,2008.0,operating,2008-01-01
Vintnersâ Alliance,Series A,,advertising,1300000.0,1.0,,operating,2011-09-07
Striiv,Series A,USA,hardware,6000000.0,4.0,,operating,2011-09-07
Vestaron Corporation,Series B,USA,biotech,10200000.0,3.0,2001.0,operating,2012-05-08
Vidacare,Series A,USA,hardware,274999.0,,,acquired,2010-01-21
agencyQ,Series A,USA,advertising,1600000.0,1.0,,operating,2011-09-07
"ITOG, Inc.",Angel,USA,network_hosting,205000.0,1.0,2006.0,closed,2008-02-11
Finestrella,Series B,MEX,finance,13800000.0,2.0,2008.0,operating,2011-09-07
AdRocket,Angel,USA,advertising,1000000.0,6.0,2008.0,operating,2009-05-15
StudioNow,Series D+,USA,photo_video,15286415.0,2.0,2007.0,acquired,2013-01-29
Brand.net,Series C,USA,advertising,27000000.0,3.0,2007.0,operating,2010-06-22
Cartera Commerce,Series C,USA,advertising,37570663.0,6.0,2005.0,operating,2012-06-05
Burt,Series A,SWE,advertising,3500000.0,1.0,2009.0,operating,2011-06-30
sarvaMAIL,Angel,USA,security,250000.0,1.0,,closed,2008-06-16
VideoSurf,Series A,USA,hardware,28000000.0,10.0,,acquired,2011-01-01
Tesaris,Series A,USA,software,230000.0,,2006.0,operating,2007-01-01
My Best Interest,Angel,USA,software,375000.0,,2006.0,closed,2008-05-10
Transmit,Series A,ISL,software,450000.0,1.0,2009.0,operating,2010-11-29
Yammer,Series C,USA,enterprise,142000000.0,17.0,2008.0,acquired,2012-02-29
GoodGuide,Series D+,USA,web,14229998.0,4.0,2007.0,acquired,2011-08-26
GoPlanit,Angel,USA,web,500000.0,,2007.0,operating,2008-01-01
Conjecta,Angel,USA,finance,100000.0,1.0,2011.0,operating,2011-03-01
Supponor,Series A,FIN,other,26251500.0,2.0,,operating,2012-06-08
FaceTags,Angel,,photo_video,15000.0,,2011.0,closed,2011-05-17
C2FO,Series B,USA,software,27100000.0,4.0,2008.0,operating,2013-07-23
Fon,Series A,ESP,mobile,57735800.0,10.0,2006.0,operating,2011-02-16
PostPath,Series C,USA,web,24300000.0,3.0,2003.0,acquired,2007-01-16
Where I've Been,Series A,USA,travel,1750000.0,1.0,2007.0,acquired,2010-04-15
JibJab,Series C,USA,web,17900000.0,3.0,1999.0,operating,2009-01-07
Swype,Series C,USA,software,13900000.0,7.0,2002.0,acquired,2011-07-12
Quant the News,Angel,USA,web,150000.0,2.0,2007.0,operating,2007-01-01
Advanced Search Laboratories,Series A,USA,search,650000.0,,,operating,2012-08-09
IntroFly,Angel,USA,web,75000.0,2.0,2011.0,operating,2011-06-01
Global Crossing,Series A,USA,public_relations,41000000.0,1.0,1997.0,acquired,1997-03-01
gopogo,Series A,USA,social,3000000.0,,2009.0,closed,2012-04-26
VGo Communications,Series A,USA,medical,8829914.0,,2007.0,operating,2013-08-14
Platfora,Series B,USA,software,27200000.0,5.0,2011.0,operating,2012-11-13
Infrascale,Series A,USA,enterprise,3749964.0,1.0,,operating,2012-09-27
Steelwedge Software,Series A,USA,enterprise,16000000.0,1.0,2000.0,operating,2011-09-08
Oxtex,Series A,GBR,medical,1037803.0,1.0,,operating,2012-03-08
WorldOne,Series A,USA,analytics,60000000.0,2.0,2000.0,operating,2013-04-03
Mob.ly,Angel,USA,mobile,1100000.0,8.0,2007.0,acquired,2008-03-01
iWeb Technologies,,CAN,network_hosting,33521974.0,6.0,1996.0,acquired,2008-08-27
TimeTrade Systems,Series A,USA,enterprise,12322500.0,2.0,2000.0,operating,2010-09-24
Mesmo.tv,Series A,GBR,games_video,900000.0,7.0,,operating,2007-10-01
TRUECar,Series A,USA,transportation,351600000.0,16.0,2005.0,operating,2013-12-12
Angstro,Angel,USA,software,225000.0,1.0,2007.0,acquired,2007-05-01
SHOP.CA,Angel,CAN,ecommerce,26752221.0,4.0,2011.0,operating,2013-09-26
Text A Cab,Angel,USA,transportation,50000.0,,2008.0,operating,2011-04-01
"Thru, Inc.",Series C,USA,software,14734000.0,11.0,2002.0,operating,2013-04-01
Golfsmith,,USA,,125000000.0,,,acquired,2013-09-18
WeHostels,Angel,USA,travel,1200000.0,5.0,2011.0,acquired,2012-03-18
easyOwn.it,Angel,CHE,ecommerce,138000.0,5.0,2011.0,closed,2011-05-01
Foodista,Series A,USA,hospitality,1300000.0,1.0,2008.0,operating,2010-04-08
Funny Or Die,Series A,USA,games_video,18000000.0,4.0,2007.0,operating,2008-12-23
FilterBoxx Water & Environmental,Series A,CAN,cleantech,9000000.0,2.0,,operating,2011-09-09
Klatcher,Angel,USA,web,150000.0,,2008.0,closed,2007-12-13
Tweegee,Series A,ISR,games_video,3000000.0,,2008.0,operating,2008-05-01
SoMoLend,Series A,USA,finance,5395000.0,6.0,2011.0,operating,2013-03-06
PlayerDuel,Series A,USA,mobile,21189.0,2.0,2011.0,closed,2012-06-13
Guavus,Series A,USA,analytics,80512816.0,7.0,2006.0,operating,2013-06-10
Routehappy,Series A,USA,transportation,1835000.0,3.0,2011.0,operating,2012-09-05
Telespree,,USA,software,1000000.0,,1998.0,operating,2010-12-30
Happy Inspector,Angel,USA,mobile,895000.0,2.0,2011.0,operating,2012-07-18
FoundValue,Series A,,web,4750000.0,1.0,2003.0,operating,2004-12-01
Storymix Media,Series A,USA,photo_video,155000.0,,2011.0,operating,2013-01-17
Webvanta,Series A,USA,public_relations,1682618.0,1.0,2007.0,operating,2013-01-03
Amrit Advanced Biotech,Series A,GBR,biotech,3242399.0,3.0,2007.0,operating,2009-10-01
LiveProcess Corp.,Series A,USA,software,1616176.0,,2004.0,operating,2012-01-24
uSamp,Series C,USA,web,29540000.0,4.0,2008.0,operating,2013-07-15
artandseek,Angel,USA,other,50000.0,,2007.0,closed,2007-06-27
Aver Informatics,Angel,USA,analytics,2475000.0,20.0,2010.0,operating,2013-03-29
Rubicon Project,Series A,USA,advertising,60000000.0,12.0,2007.0,operating,2010-11-01
Weight Wins,Angel,GBR,medical,952578.0,,2008.0,operating,2011-09-12
Intela,,USA,advertising,13250000.0,3.0,2006.0,acquired,2012-08-09
Spare Change Payments,Angel,USA,web,509412.0,,2008.0,acquired,2008-01-01
NYX Interactive,Series A,SWE,games_video,7385500.0,1.0,2006.0,operating,2008-08-28
Picateers,Series B,USA,web,12100000.0,1.0,2005.0,closed,2008-08-25
SailPoint Technologies,,USA,enterprise,25830908.0,4.0,2005.0,operating,2013-11-29
Moozey,Angel,DEU,mobile,109018.0,,2008.0,operating,2008-08-01
Socure,Series A,USA,security,1700000.0,,2012.0,operating,2013-09-13
Bitcasa,Series A,USA,enterprise,19500000.0,7.0,2011.0,operating,2013-11-11
Divas Diamond,Angel,TUR,ecommerce,900000.0,,2011.0,operating,2011-09-12
Red Seraphim,,USA,games_video,50000.0,,,operating,2011-12-01
BubbleLife Media,Series A,USA,advertising,50000.0,,2008.0,operating,2012-11-13
Ascension Orthopedics,Series A,USA,biotech,18664050.0,,1996.0,acquired,2011-07-20
Whiskey Media,Series A,USA,web,4000000.0,1.0,2007.0,acquired,2009-12-31
Team Robot,Series A,,games_video,25000.0,,2010.0,operating,2011-03-01
TurnTide,Series A,,,750000.0,1.0,,acquired,2003-01-01
Balluun,Series B,USA,ecommerce,8700000.0,1.0,2009.0,operating,2013-07-23
FitnessKeeper,Series B,USA,health,11510000.0,7.0,2008.0,operating,2011-11-21
VoodooVox,Series A,USA,mobile,9650000.0,5.0,2002.0,acquired,2013-02-08
CampaignerCRM,Series A,USA,software,8000000.0,3.0,2004.0,operating,2010-01-27
ClickN KIDS,Series A,USA,education,4000000.0,,2003.0,operating,2013-07-03
Cignis,Angel,NOR,enterprise,20000.0,,2007.0,operating,2007-06-01
Tremor Video,Series A,USA,advertising,116400000.0,10.0,2005.0,ipo,2011-09-12
StickyADStv,Series B,FRA,advertising,5694085.0,2.0,2009.0,operating,2013-05-28
TapRush,Angel,USA,mobile,1200000.0,,2011.0,operating,2011-02-01
Image Space Media,Series A,USA,advertising,3915000.0,3.0,2008.0,acquired,2010-12-30
Moviecom.tv,Angel,GBR,games_video,811057.0,,2007.0,operating,2010-01-01
AppAddictive,Angel,USA,advertising,1200000.0,2.0,,operating,2012-01-19
TapnScrap,Angel,USA,mobile,15000.0,1.0,2010.0,operating,2010-02-12
AI Exchange,Series A,USA,finance,1500000.0,4.0,,operating,2011-09-13
JetSuite,Series A,USA,transportation,7000000.0,,,operating,2011-09-13
RF Surgical Systems,Angel,USA,medical,12120000.0,3.0,,operating,2013-01-04
AM-Pharma,Series C,NLD,biotech,39843400.0,4.0,,operating,2011-09-13
CURRENT,Series A,USA,software,13000000.0,3.0,,operating,2011-09-13
The Rainmaker Group,Series A,USA,software,42800000.0,2.0,,operating,2012-10-30
Arrien Pharmaceuticals,Series A,USA,biotech,2000000.0,,,operating,2011-09-13
Kwestr,Angel,CHN,web,57000.0,7.0,2010.0,operating,2011-09-13
CondoDomain,Angel,USA,web,250000.0,,2005.0,acquired,2005-06-01
CrushBlvd,Series A,USA,social,100000.0,,2011.0,operating,2011-01-01
Abbott Labs,,USA,biotech,100000.0,,1991.0,ipo,2011-03-15
gis.to,Angel,USA,web,2454.0,,2010.0,operating,2011-07-01
SnapLayout,Series A,USA,network_hosting,650000.0,1.0,,closed,2007-05-01
Big Stage,Series B,USA,web,10600000.0,3.0,2008.0,acquired,2009-04-14
M-Files,Series A,USA,software,7843200.0,2.0,2001.0,operating,2013-04-30
Emerge Studio,Angel,ZAF,software,100000.0,1.0,2010.0,operating,2009-02-26
Brightblue,Series A,GBR,software,2309232.0,,2000.0,operating,2003-01-01
Confabb,Angel,USA,web,200000.0,,2006.0,closed,2007-08-01
Punchh,Series A,USA,mobile,4000000.0,5.0,2010.0,operating,2013-08-15
meQuilibrium,Series A,USA,health,2300000.0,2.0,,operating,2011-09-14
EnerTrac,Series A,USA,manufacturing,5200000.0,4.0,2006.0,operating,2013-07-18
Ocision,Angel,MYS,web,1600000.0,2.0,2010.0,operating,2011-11-01
Nerd Attack,Angel,MYS,mobile,35000.0,1.0,2010.0,operating,2011-03-01
Milk A Deal,Angel,MYS,web,165000.0,1.0,2011.0,operating,2011-06-01
Long Tail,Angel,MYS,mobile,20000.0,1.0,2006.0,operating,2006-01-01
Surphace,Series B,USA,web,3500000.0,11.0,2005.0,acquired,2006-05-01
Base79,Series A,GBR,advertising,14345753.0,2.0,2007.0,operating,2012-11-13
AccuNostics,Series A,GBR,medical,6321095.0,2.0,2008.0,operating,2011-09-15
RayV,Series A,USA,games_video,16030566.0,3.0,2005.0,operating,2010-04-29
Mimosa Systems,Series A,USA,software,53816776.0,7.0,2003.0,acquired,2010-01-12
