company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date,estimated_revenue,capital_efficiency,monthly_burn,runway_months,traction_index,rule_of_40
Wetpaint,Series C,USA,web,39750000.0,4.0,2005.0,operating,2008-05-19,31800000.0,0.8,1104166.6666666667,18.0,2.773166114622433,75.0
FriendFeed,Series A,USA,web,5000000.0,3.0,2007.0,acquired,2008-02-26,1500000.0,0.3,208333.33333333334,12.0,1.4609754432487394,100.0
Fitbit,Series C,USA,health,68069200.0,7.0,2007.0,operating,2013-08-13,54455360.0,0.8,1890811.111111111,18.0,6.6868963113200435,75.0
MTPV,Series B,USA,cleantech,10125293.0,4.0,2003.0,operating,2012-01-26,5062646.5,0.5,337509.76666666666,15.0,1.6310781205325764,90.0
Demandbase,Series C,USA,analytics,33000000.0,6.0,2006.0,operating,2013-03-28,26400000.0,0.8,916666.6666666666,18.0,4.711986551616089,75.0
Locatrix Communications,Angel,AUS,mobile,250000.0,2.0,2003.0,operating,2003-11-01,20000.0,0.08,13888.888888888889,9.0,0.2409726179757732,79.0
iHireHelp,Angel,USA,education,100000.0,,2010.0,operating,2011-04-16,8000.0,0.08,5555.555555555556,9.0,0.3786921804937574,79.0
Cardiosolutions,Series A,USA,medical,11300000.0,1.0,2006.0,operating,2012-07-10,3390000.0,0.3,470833.3333333333,12.0,0.4308991452540449,100.0
Blend Biosciences,Series A,,biotech,2800000.0,,,operating,2011-09-06,840000.0,0.3,116666.66666666667,12.0,2.823474414481761,100.0
Wevod,Angel,FRA,games_video,414840.0,,2006.0,operating,2007-10-01,33187.2,0.07999999999999999,23046.666666666668,9.0,0.17598481967207047,79.0
Balance Financial,Series A,USA,enterprise,1500000.0,1.0,2004.0,operating,2011-09-06,450000.0,0.3,62500.0,12.0,0.2895545256672379,100.0
Wikinvest,Series A,USA,web,2500000.0,1.0,2006.0,operating,2007-10-01,750000.0,0.3,104166.66666666667,12.0,0.3897334317357786,100.0
Solectria Renewables,,USA,cleantech,2100000.0,1.0,,operating,2011-09-06,420000.0,0.2,87500.0,12.0,1.8415864080830882,55.0
Jumptap,Series A,USA,mobile,121500000.0,7.0,2005.0,acquired,2012-07-02,36450000.0,0.3,5062500.0,12.0,3.099190189104708,100.0
Jogabo,Angel,USA,games_video,40000.0,1.0,2011.0,operating,2011-11-04,3200.0,0.08,2222.222222222222,9.0,0.5275039928886823,79.0
Courion Corporation,Series A,USA,software,840000.0,,1996.0,operating,2012-04-10,252000.0,0.3,35000.0,12.0,0.14099859960191738,100.0
PlayPhone,Series D+,USA,games_video,95097200.0,5.0,2003.0,operating,2012-01-01,95097200.0,1.0,2641588.888888889,18.0,3.4968828470876114,75.0
Rupture,Series A,USA,games_video,3000000.0,6.0,,acquired,2007-07-01,900000.0,0.3,125000.0,12.0,17.081331740158245,100.0
Birdpost,Angel,USA,web,350000.0,,2007.0,operating,2007-11-01,28000.0,0.08,19444.444444444445,9.0,0.20447674276850383,79.0
Ambitious Minds,Series A,GBR,education,559522.0,1.0,2009.0,operating,2011-09-07,167856.6,0.3,23313.416666666668,12.0,0.6197565344947243,100.0
iCharts,Series A,USA,analytics,3100000.0,4.0,2008.0,operating,2012-02-29,930000.0,0.3,129166.66666666667,12.0,2.2718773720607035,100.0
Attunity,Series A,USA,software,10500000.0,2.0,,ipo,2011-09-21,3150000.0,0.3,437500.0,12.0,6.164201505781139,100.0
FairSoftware,Angel,USA,web,100000.0,,2007.0,closed,2007-01-01,8000.0,0.08,5555.555555555556,9.0,0.18320508659372162,79.0
AMAX Global Services,Angel,USA,software,45000.0,,2000.0,operating,2012-11-13,3600.0,0.08,2500.0,9.0,0.0716850380737371,79.0
The Local,Series A,SWE,news,3933515.0,2.0,2004.0,operating,2011-04-01,1180054.5,0.3,163896.45833333334,12.0,0.6323152604835135,100.0
Tingz,Angel,USA,software,280000.0,,2007.0,operating,2008-06-26,22400.0,0.08,15555.555555555555,9.0,0.20068781140595193,79.0
SellABand,Series A,DEU,games_video,5000000.0,1.0,2006.0,closed,2008-04-08,1500000.0,0.3,208333.33333333334,12.0,0.4086486928522725,100.0
Gazelle,Series C,USA,ecommerce,46400000.0,7.0,2006.0,operating,2011-07-21,37120000.0,0.8,1288888.888888889,18.0,5.607862944010105,75.0
Icount.com,Angel,USA,government,182500.0,8.0,2010.0,operating,2011-01-01,14600.0,0.08,10138.888888888889,9.0,3.278946755779798,79.0
Rev Worldwide,,USA,ecommerce,4815940.0,1.0,2008.0,operating,2013-12-08,963188.0,0.2,200664.16666666666,12.0,0.37963136310173107,55.0
Tonchidot,Series B,JPN,mobile,16000000.0,4.0,2008.0,operating,2010-09-30,8000000.0,0.5,533333.3333333334,14.999999999999998,3.367667943533486,90.0
HammerKit,Series A,FIN,web,1613875.0,1.0,2006.0,closed,2012-01-19,484162.5,0.3,67244.79166666667,12.0,0.37779034998733346,100.0
MetaPack,Series A,GBR,software,30772029.0,3.0,1999.0,operating,2013-11-27,9231608.7,0.3,1282167.875,12.0,0.6934969710907878,100.0
Eqvilibria,Angel,RUS,other,720000.0,,2009.0,operating,2011-06-01,57600.0,0.08,40000.0,9.0,0.33122786501376295,79.0
Sportsvite,Angel,USA,web,4350000.0,1.0,2007.0,operating,2013-03-01,348000.0,0.08,241666.66666666666,9.0,0.24726578723941983,79.0
SideTour,Series A,USA,web,4000000.0,4.0,2011.0,acquired,2013-03-25,1200000.0,0.3,166666.66666666666,12.0,5.795496839256482,100.0
ChatID,Angel,USA,mobile,3268000.0,17.0,2011.0,operating,2013-05-31,261440.0,0.08,181555.55555555556,9.0,12.976990269783961,79.0
PGP TrustCenter,Series A,USA,security,8500000.0,2.0,1997.0,operating,2007-05-29,2550000.0,0.3,354166.6666666667,12.0,0.3687026087510032,100.0
ChoicePass,Angel,USA,enterprise,250000.0,,2011.0,acquired,2011-07-01,20000.0,0.08,13888.888888888889,9.0,0.6208545558989044,79.0
Producteev,Angel,USA,software,1310000.0,15.0,2008.0,acquired,2010-02-01,104800.0,0.08,72777.77777777778,9.0,4.292769310162754,79.0
TradeCard,Series A,USA,enterprise,44925050.0,1.0,1999.0,acquired,2013-03-15,13477515.0,0.3,1871877.0833333333,12.0,0.22814057775354893,100.0
Links Global,Series A,,finance,22000000.0,1.0,,operating,2011-09-07,6600000.0,0.3,916666.6666666666,12.0,3.2172529548278836,100.0
Twonq,Angel,USA,web,800000.0,,2008.0,operating,2008-01-01,64000.0,0.08,44444.444444444445,9.0,0.2646726902746751,79.0
Vintnersâ Alliance,Series A,,advertising,1300000.0,1.0,,operating,2011-09-07,390000.0,0.3,54166.666666666664,12.0,2.6769112836704756,100.0
Striiv,Series A,USA,hardware,6000000.0,4.0,,operating,2011-09-07,1800000.0,0.3,250000.0,12.0,11.91308780226522,100.0
Vestaron Corporation,Series B,USA,biotech,10200000.0,3.0,2001.0,operating,2012-05-08,5100000.0,0.5,340000.0,15.0,1.0152861526074577,90.0
Vidacare,Series A,USA,hardware,274999.0,,,acquired,2010-01-21,82499.7,0.3,11458.291666666666,12.0,2.380185815477264,100.0
agencyQ,Series A,USA,advertising,1600000.0,1.0,,operating,2011-09-07,480000.0,0.3,66666.66666666667,12.0,2.716575110330918,100.0
"ITOG, Inc.",Angel,USA,network_hosting,205000.0,1.0,2006.0,closed,2008-02-11,16400.0,0.08,11388.888888888889,9.0,0.16572587711827166,79.0
Finestrella,Series B,MEX,finance,13800000.0,2.0,2008.0,operating,2011-09-07,6900000.0,0.5,460000.0,15.0,1.662623048771551,90.0
AdRocket,Angel,USA,advertising,1000000.0,6.0,2008.0,operating,2009-05-15,80000.0,0.08,55555.555555555555,9.0,1.6767264839899956,79.0
StudioNow,Series D+,USA,photo_video,15286415.0,2.0,2007.0,acquired,2013-01-29,15286415.0,1.0,424622.6388888889,18.0,2.094376541262773,75.0
Brand.net,Series C,USA,advertising,27000000.0,3.0,2007.0,operating,2010-06-22,21600000.0,0.8,750000.0,18.0,2.711597441386445,75.0
Cartera Commerce,Series C,USA,advertising,37570663.0,6.0,2005.0,operating,2012-06-05,30056530.400000002,0.8,1043629.5277777778,18.0,4.152426340077879,75.0
Burt,Series A,SWE,advertising,3500000.0,1.0,2009.0,operating,2011-06-30,1050000.0,0.3,145833.33333333334,12.0,0.7073134675978818,100.0
sarvaMAIL,Angel,USA,security,250000.0,1.0,,closed,2008-06-16,20000.0,0.08,13888.888888888889,9.0,1.2539911191041229,79.0
VideoSurf,Series A,USA,hardware,28000000.0,10.0,,acquired,2011-01-01,8400000.0,0.3,1166666.6666666667,12.0,32.743741823325244,100.0
Tesaris,Series A,USA,software,230000.0,,2006.0,operating,2007-01-01,69000.0,0.3,9583.333333333334,12.0,0.324622897569188,100.0
My Best Interest,Angel,USA,software,375000.0,,2006.0,closed,2008-05-10,30000.0,0.08,20833.333333333332,9.0,0.1745153367798614,79.0
Transmit,Series A,ISL,software,450000.0,1.0,2009.0,operating,2010-11-29,135000.0,0.3,18750.0,12.0,0.6093536657971436,100.0
Yammer,Series C,USA,enterprise,142000000.0,17.0,2008.0,acquired,2012-02-29,113600000.0,0.8,3944444.4444444445,18.0,20.30697424544556,75.0
GoodGuide,Series D+,USA,web,14229998.0,4.0,2007.0,acquired,2011-08-26,14229998.0,1.0,395277.72222222225,18.0,4.1827956708634275,75.0
GoPlanit,Angel,USA,web,500000.0,,2007.0,operating,2008-01-01,40000.0,0.08,27777.777777777777,9.0,0.21053300956791038,79.0
Conjecta,Angel,USA,finance,100000.0,1.0,2011.0,operating,2011-03-01,8000.0,0.08,5555.555555555556,9.0,0.5741792743937932,79.0
Supponor,Series A,FIN,other,26251500.0,2.0,,operating,2012-06-08,7875450.0,0.3,1093812.5,12.0,6.514287947608476,100.0
FaceTags,Angel,,photo_video,15000.0,,2011.0,closed,2011-05-17,1200.0,0.08,833.3333333333334,9.0,0.47754115915016787,79.0
C2FO,Series B,USA,software,27100000.0,4.0,2008.0,operating,2013-07-23,13550000.0,0.5,903333.3333333334,15.0,3.4750369504246805,90.0
Fon,Series A,ESP,mobile,57735800.0,10.0,2006.0,operating,2011-02-16,17320740.0,0.3,2405658.3333333335,12.0,4.864632734898714,100.0
PostPath,Series C,USA,web,24300000.0,3.0,2003.0,acquired,2007-01-16,19440000.0,0.8,675000.0,18.0,1.6119825381987438,75.0
Where I've Been,Series A,USA,travel,1750000.0,1.0,2007.0,acquired,2010-04-15,525000.0,0.3,72916.66666666667,12.0,0.44538050466057355,100.0
JibJab,Series C,USA,web,17900000.0,3.0,1999.0,operating,2009-01-07,14320000.0,0.8,497222.22222222225,18.0,1.1270530331930548,75.0
Swype,Series C,USA,software,13900000.0,7.0,2002.0,acquired,2011-07-12,11120000.0,0.8,386111.1111111111,18.0,3.3199579136844783,75.0
Quant the News,Angel,USA,web,150000.0,2.0,2007.0,operating,2007-01-01,12000.0,0.08,8333.333333333334,9.0,0.3924616078913549,79.0
Advanced Search Laboratories,Series A,USA,search,650000.0,,,operating,2012-08-09,195000.0,0.3,27083.333333333332,12.0,2.544504455855018,100.0
IntroFly,Angel,USA,web,75000.0,2.0,2011.0,operating,2011-06-01,6000.0,0.08,4166.666666666667,9.0,1.1313318634517826,79.0
Global Crossing,Series A,USA,public_relations,41000000.0,1.0,1997.0,acquired,1997-03-01,12300000.0,0.3,1708333.3333333333,12.0,0.19699625728358,100.0
gopogo,Series A,USA,social,3000000.0,,2009.0,closed,2012-04-26,900000.0,0.3,125000.0,12.0,0.6999518988380424,100.0
VGo Communications,Series A,USA,medical,8829914.0,,2007.0,operating,2013-08-14,2648974.1999999997,0.3,367913.0833333333,12.0,0.49690980972118026,100.0
Platfora,Series B,USA,software,27200000.0,5.0,2011.0,operating,2012-11-13,13600000.0,0.5,906666.6666666666,15.0,10.887935013562837,90.0
Infrascale,Series A,USA,enterprise,3749964.0,1.0,,operating,2012-09-27,1124989.2,0.3,156248.5,12.0,2.87927726127335,100.0
Steelwedge Software,Series A,USA,enterprise,16000000.0,1.0,2000.0,operating,2011-09-08,4800000.0,0.3,666666.6666666666,12.0,0.2314643833792483,100.0
Oxtex,Series A,GBR,medical,1037803.0,1.0,,operating,2012-03-08,311340.89999999997,0.3,43241.791666666664,12.0,2.63388184360772,100.0
